SOIL_ID,SNAM
106,LS2_LS2_SL3_3_>100cm_60-100cm_Y_A
107,LS2_LS2_SL3_3_>100cm_60-100cm_Y_B
108,LS2_LS2_SL3_3_>100cm_60-100cm_Y_C
109,LS2_LS2_SL3_3_>100cm_60-100cm_Y_D
110,LS2_LS2_SL3_3_>100cm_<60cm_N_A
111,LS2_LS2_SL3_3_>100cm_<60cm_N_B
112,LS2_LS2_SL3_3_>100cm_<60cm_N_D
113,LS2_LS2_SL3_3_>100cm_<60cm_Y_A
114,LS2_LS2_SL3_3_>100cm_<60cm_Y_D
115,LS2_LS2_SL3_3_>100cm_>100cm_N_A
116,LS2_LS2_SL3_3_>100cm_>100cm_N_B
117,LS2_LS2_SL3_3_>100cm_>100cm_N_C
118,LS2_LS2_SL3_3_>100cm_>100cm_Y_A
119,LS2_LS2_SL3_3_>100cm_>100cm_Y_B
120,LS2_LS2_SL3_3_>100cm_>100cm_Y_C
121,LS2_LS2_SL3_4_>100cm_60-100cm_N_D
122,LS2_LS2_SL3_4_>100cm_60-100cm_Y_D
123,LS2_LS2_SL3_4_>100cm_<60cm_N_D
124,LS2_LS2_SL3_4_>100cm_<60cm_Y_D
125,LS2_LS2_SL3_4_>100cm_>100cm_N_A
126,LS2_LS2_SL3_4_>100cm_>100cm_N_B
127,LS2_LS2_SL3_4_>100cm_>100cm_Y_A
128,LS2_LS2_SL3_5_>100cm_60-100cm_N_B
129,LS2_LS2_SL3_5_>100cm_60-100cm_N_C
130,LS2_LS2_SL3_5_>100cm_60-100cm_Y_C
131,LS2_LS2_SL3_5_>100cm_>100cm_N_B
132,LS2_LS2_SL3_5_>100cm_>100cm_N_C
133,LS2_LS2_SL3_5_>100cm_>100cm_Y_B
134,LS2_LS2_SL3_5_>100cm_>100cm_Y_C
135,LS2_LS2_SL3_8_>100cm_60-100cm_Y_B
136,LS2_LS2_SL3_8_>100cm_>100cm_N_B
137,LS2_LS2_SL3_8_>100cm_>100cm_Y_B
138,LS2_LS2_SL3_8_>100cm_>100cm_Y_C
139,LS2_LS2_SL4_2_>100cm_60-100cm_Y_A
140,LS2_LS2_SL4_2_>100cm_>100cm_N_B
141,LS2_LS2_SL4_2_>100cm_>100cm_Y_B
142,LS2_LS2_SL4_2_>100cm_>100cm_Y_C
143,LS2_LS2_SL4_3_>100cm_60-100cm_Y_B
144,LS2_LS2_SL4_3_>100cm_>100cm_Y_B
145,LS2_LS2_SL4_5_>100cm_60-100cm_N_C
146,LS2_LS2_SL4_5_>100cm_60-100cm_Y_A
147,LS2_LS2_SL4_5_>100cm_60-100cm_Y_C
148,LS2_LS2_SL4_5_>100cm_<60cm_Y_C
149,LS2_LS2_SL4_5_>100cm_>100cm_N_C
150,LS2_LS2_SL4_5_>100cm_>100cm_Y_A
151,LS2_LS2_SL4_5_>100cm_>100cm_Y_C
152,LS2_L_L_3_>100cm_>100cm_Y_C
153,LS2_S1_S1_4_>100cm_60-100cm_Y_A
154,LS2_S1_S1_4_>100cm_<60cm_N_C
155,LS2_S1_S1_4_>100cm_<60cm_Y_C
156,LS2_S1_S1_4_>100cm_>100cm_N_A
157,LS2_S1_S1_4_>100cm_>100cm_N_C
158,LS2_S1_S1_4_>100cm_>100cm_Y_A
159,LS2_S1_S1_4_>100cm_>100cm_Y_B
160,LS2_S1_S1_4_>100cm_>100cm_Y_C
161,LS2_S3_CL_3_>100cm_>100cm_N_B
162,LS2_S3_CL_3_>100cm_>100cm_Y_B
163,LS2_S3_LS3_1_>100cm_60-100cm_Y_A
164,LS2_S3_LS3_1_>100cm_>100cm_N_B
165,LS2_S3_LS3_1_>100cm_>100cm_Y_B
166,LS2_S3_L_3_>100cm_>100cm_N_A
167,LS2_S3_L_3_>100cm_>100cm_N_B
168,LS2_S3_L_3_>100cm_>100cm_Y_B
169,LS2_S3_L_3_>100cm_>100cm_Y_C
170,LS2_S3_S1_4_>100cm_60-100cm_N_B
171,LS2_S3_S1_4_>100cm_>100cm_N_A
172,LS2_S3_S1_4_>100cm_>100cm_Y_A
173,LS2_S3_S1_4_>100cm_>100cm_Y_B
174,LS2_S3_S1_5_>100cm_60-100cm_N_A
175,LS2_S3_S1_5_>100cm_60-100cm_Y_A
176,LS2_S3_S1_5_>100cm_>100cm_N_A
177,LS2_S3_S1_5_>100cm_>100cm_Y_A
178,LS2_S3_S3_2_>100cm_>100cm_N_B
179,LS2_S3_S3_2_>100cm_>100cm_Y_B
180,LS2_S3_S3_3_>100cm_60-100cm_N_D
181,LS2_S3_S3_3_>100cm_60-100cm_Y_B
182,LS2_S3_S3_3_>100cm_<60cm_N_B
183,LS2_S3_S3_3_>100cm_<60cm_Y_B
184,LS2_S3_S3_3_>100cm_>100cm_N_B
185,LS2_S3_S3_3_>100cm_>100cm_Y_B
186,LS2_S3_S3_4_>100cm_60-100cm_N_D
187,LS2_S3_S3_4_>100cm_60-100cm_Y_B
188,LS2_S3_S3_4_>100cm_60-100cm_Y_D
